classlabel	activity	subject	feature	measurement
1	WALKING	1	TimeBodyAccelerometerMean-X	0.277330758736842
1	WALKING	3	TimeBodyAccelerometerMean-X	0.275567462068966
1	WALKING	5	TimeBodyAccelerometerMean-X	0.27784234625
1	WALKING	6	TimeBodyAccelerometerMean-X	0.283658868070175
1	WALKING	7	TimeBodyAccelerometerMean-X	0.275592961754386
1	WALKING	8	TimeBodyAccelerometerMean-X	0.27468631
1	WALKING	11	TimeBodyAccelerometerMean-X	0.271821892881356
1	WALKING	14	TimeBodyAccelerometerMean-X	0.271959598644068
1	WALKING	15	TimeBodyAccelerometerMean-X	0.273899207962963
1	WALKING	16	TimeBodyAccelerometerMean-X	0.276023564509804
1	WALKING	17	TimeBodyAccelerometerMean-X	0.272341855245902
1	WALKING	19	TimeBodyAccelerometerMean-X	0.273931172307692
1	WALKING	21	TimeBodyAccelerometerMean-X	0.279183526730769
1	WALKING	22	TimeBodyAccelerometerMean-X	0.27886459
1	WALKING	23	TimeBodyAccelerometerMean-X	0.273211884237288
1	WALKING	25	TimeBodyAccelerometerMean-X	0.278992759054054
1	WALKING	26	TimeBodyAccelerometerMean-X	0.279264443728814
1	WALKING	27	TimeBodyAccelerometerMean-X	0.276849485438597
1	WALKING	28	TimeBodyAccelerometerMean-X	0.281228223888889
1	WALKING	29	TimeBodyAccelerometerMean-X	0.271999916792453
1	WALKING	30	TimeBodyAccelerometerMean-X	0.276406758
1	WALKING	2	TimeBodyAccelerometerMean-X	0.276426586440678
1	WALKING	4	TimeBodyAccelerometerMean-X	0.278582015166667
1	WALKING	9	TimeBodyAccelerometerMean-X	0.278502842115385
1	WALKING	10	TimeBodyAccelerometerMean-X	0.278574076603774
1	WALKING	12	TimeBodyAccelerometerMean-X	0.2771286656
1	WALKING	13	TimeBodyAccelerometerMean-X	0.275883130350877
1	WALKING	18	TimeBodyAccelerometerMean-X	0.273887758571429
1	WALKING	20	TimeBodyAccelerometerMean-X	0.272589336470588
1	WALKING	24	TimeBodyAccelerometerMean-X	0.276980816034483
2	WALKING_UPSTAIRS	1	TimeBodyAccelerometerMean-X	0.255461689622642
2	WALKING_UPSTAIRS	3	TimeBodyAccelerometerMean-X	0.260819873067797
2	WALKING_UPSTAIRS	5	TimeBodyAccelerometerMean-X	0.268459469914894
2	WALKING_UPSTAIRS	6	TimeBodyAccelerometerMean-X	0.268229355098039
2	WALKING_UPSTAIRS	7	TimeBodyAccelerometerMean-X	0.248706923078431
2	WALKING_UPSTAIRS	8	TimeBodyAccelerometerMean-X	0.258880152048781
2	WALKING_UPSTAIRS	11	TimeBodyAccelerometerMean-X	0.263775859277778
2	WALKING_UPSTAIRS	14	TimeBodyAccelerometerMean-X	0.26242106612963
2	WALKING_UPSTAIRS	15	TimeBodyAccelerometerMean-X	0.270187595833333
2	WALKING_UPSTAIRS	16	TimeBodyAccelerometerMean-X	0.255986102627451
2	WALKING_UPSTAIRS	17	TimeBodyAccelerometerMean-X	0.252604768583333
2	WALKING_UPSTAIRS	19	TimeBodyAccelerometerMean-X	0.242118808925
2	WALKING_UPSTAIRS	21	TimeBodyAccelerometerMean-X	0.265194544680851
2	WALKING_UPSTAIRS	22	TimeBodyAccelerometerMean-X	0.248391534566667
2	WALKING_UPSTAIRS	23	TimeBodyAccelerometerMean-X	0.249995171031373
2	WALKING_UPSTAIRS	25	TimeBodyAccelerometerMean-X	0.277995411384615
2	WALKING_UPSTAIRS	26	TimeBodyAccelerometerMean-X	0.272691394545455
2	WALKING_UPSTAIRS	27	TimeBodyAccelerometerMean-X	0.265770253921569
2	WALKING_UPSTAIRS	28	TimeBodyAccelerometerMean-X	0.262005841764706
2	WALKING_UPSTAIRS	29	TimeBodyAccelerometerMean-X	0.265423066877551
2	WALKING_UPSTAIRS	30	TimeBodyAccelerometerMean-X	0.271415642261539
2	WALKING_UPSTAIRS	2	TimeBodyAccelerometerMean-X	0.247164790395833
2	WALKING_UPSTAIRS	4	TimeBodyAccelerometerMean-X	0.270876696730769
2	WALKING_UPSTAIRS	9	TimeBodyAccelerometerMean-X	0.262436475714286
2	WALKING_UPSTAIRS	10	TimeBodyAccelerometerMean-X	0.267121853404255
2	WALKING_UPSTAIRS	12	TimeBodyAccelerometerMean-X	0.272970338653846
2	WALKING_UPSTAIRS	13	TimeBodyAccelerometerMean-X	0.258203939581818
2	WALKING_UPSTAIRS	18	TimeBodyAccelerometerMean-X	0.265401201896552
2	WALKING_UPSTAIRS	20	TimeBodyAccelerometerMean-X	0.252098317156863
2	WALKING_UPSTAIRS	24	TimeBodyAccelerometerMean-X	0.269881106779661
3	WALKING_DOWNSTAIRS	1	TimeBodyAccelerometerMean-X	0.289188320408163
3	WALKING_DOWNSTAIRS	3	TimeBodyAccelerometerMean-X	0.292423484693878
3	WALKING_DOWNSTAIRS	5	TimeBodyAccelerometerMean-X	0.29354392712766
3	WALKING_DOWNSTAIRS	6	TimeBodyAccelerometerMean-X	0.277045258145833
3	WALKING_DOWNSTAIRS	7	TimeBodyAccelerometerMean-X	0.28030708
3	WALKING_DOWNSTAIRS	8	TimeBodyAccelerometerMean-X	0.283484089210526
3	WALKING_DOWNSTAIRS	11	TimeBodyAccelerometerMean-X	0.291605631956522
3	WALKING_DOWNSTAIRS	14	TimeBodyAccelerometerMean-X	0.293422115555555
3	WALKING_DOWNSTAIRS	15	TimeBodyAccelerometerMean-X	0.280198851190476
3	WALKING_DOWNSTAIRS	16	TimeBodyAccelerometerMean-X	0.295586802191489
3	WALKING_DOWNSTAIRS	17	TimeBodyAccelerometerMean-X	0.29391828326087
3	WALKING_DOWNSTAIRS	19	TimeBodyAccelerometerMean-X	0.262688053871795
3	WALKING_DOWNSTAIRS	21	TimeBodyAccelerometerMean-X	0.3014610196
3	WALKING_DOWNSTAIRS	22	TimeBodyAccelerometerMean-X	0.284458963861111
3	WALKING_DOWNSTAIRS	23	TimeBodyAccelerometerMean-X	0.289897411148148
3	WALKING_DOWNSTAIRS	25	TimeBodyAccelerometerMean-X	0.291329666206897
3	WALKING_DOWNSTAIRS	26	TimeBodyAccelerometerMean-X	0.2792845828
3	WALKING_DOWNSTAIRS	27	TimeBodyAccelerometerMean-X	0.2975441875
3	WALKING_DOWNSTAIRS	28	TimeBodyAccelerometerMean-X	0.293642076521739
3	WALKING_DOWNSTAIRS	29	TimeBodyAccelerometerMean-X	0.293140441083333
3	WALKING_DOWNSTAIRS	30	TimeBodyAccelerometerMean-X	0.283190646967742
3	WALKING_DOWNSTAIRS	2	TimeBodyAccelerometerMean-X	0.27761534806383
3	WALKING_DOWNSTAIRS	4	TimeBodyAccelerometerMean-X	0.279965329555556
3	WALKING_DOWNSTAIRS	9	TimeBodyAccelerometerMean-X	0.295923445
3	WALKING_DOWNSTAIRS	10	TimeBodyAccelerometerMean-X	0.290401594315789
3	WALKING_DOWNSTAIRS	12	TimeBodyAccelerometerMean-X	0.281521097391304
3	WALKING_DOWNSTAIRS	13	TimeBodyAccelerometerMean-X	0.294907553404255
3	WALKING_DOWNSTAIRS	18	TimeBodyAccelerometerMean-X	0.288439468909091
3	WALKING_DOWNSTAIRS	20	TimeBodyAccelerometerMean-X	0.296144421355556
3	WALKING_DOWNSTAIRS	24	TimeBodyAccelerometerMean-X	0.288631208909091
4	SITTING	1	TimeBodyAccelerometerMean-X	0.261237565425532
4	SITTING	3	TimeBodyAccelerometerMean-X	0.257197599134615
4	SITTING	5	TimeBodyAccelerometerMean-X	0.273694139545455
4	SITTING	6	TimeBodyAccelerometerMean-X	0.276778487454545
4	SITTING	7	TimeBodyAccelerometerMean-X	0.284674637291667
4	SITTING	8	TimeBodyAccelerometerMean-X	0.267491472934783
4	SITTING	11	TimeBodyAccelerometerMean-X	0.276590197358491
4	SITTING	14	TimeBodyAccelerometerMean-X	0.279990577037037
4	SITTING	15	TimeBodyAccelerometerMean-X	0.27290337979661
4	SITTING	16	TimeBodyAccelerometerMean-X	0.280768574492754
4	SITTING	17	TimeBodyAccelerometerMean-X	0.2773570196875
4	SITTING	19	TimeBodyAccelerometerMean-X	0.273830316164384
4	SITTING	21	TimeBodyAccelerometerMean-X	0.27753961682353
4	SITTING	22	TimeBodyAccelerometerMean-X	0.273583822709678
4	SITTING	23	TimeBodyAccelerometerMean-X	0.273351251617647
4	SITTING	25	TimeBodyAccelerometerMean-X	0.278541482461538
4	SITTING	26	TimeBodyAccelerometerMean-X	0.258243530166667
4	SITTING	27	TimeBodyAccelerometerMean-X	0.273941302571429
4	SITTING	28	TimeBodyAccelerometerMean-X	0.276977629444444
4	SITTING	29	TimeBodyAccelerometerMean-X	0.2771799775
4	SITTING	30	TimeBodyAccelerometerMean-X	0.268336081379032
4	SITTING	2	TimeBodyAccelerometerMean-X	0.27708735173913
4	SITTING	4	TimeBodyAccelerometerMean-X	0.27153827992
4	SITTING	9	TimeBodyAccelerometerMean-X	0.24832674354
4	SITTING	10	TimeBodyAccelerometerMean-X	0.270612056481482
4	SITTING	12	TimeBodyAccelerometerMean-X	0.275007224901961
4	SITTING	13	TimeBodyAccelerometerMean-X	0.274328499591837
4	SITTING	18	TimeBodyAccelerometerMean-X	0.27727001877193
4	SITTING	20	TimeBodyAccelerometerMean-X	0.278045439090909
4	SITTING	24	TimeBodyAccelerometerMean-X	0.273475690147059
5	STANDING	1	TimeBodyAccelerometerMean-X	0.278917629056604
5	STANDING	3	TimeBodyAccelerometerMean-X	0.280046513278688
5	STANDING	5	TimeBodyAccelerometerMean-X	0.282544390892857
5	STANDING	6	TimeBodyAccelerometerMean-X	0.280346248596491
5	STANDING	7	TimeBodyAccelerometerMean-X	0.282723539433962
5	STANDING	8	TimeBodyAccelerometerMean-X	0.279620986111111
5	STANDING	11	TimeBodyAccelerometerMean-X	0.277715562765958
5	STANDING	14	TimeBodyAccelerometerMean-X	0.280545613833333
5	STANDING	15	TimeBodyAccelerometerMean-X	0.278915803962264
